2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:10)  		ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Ï¢ï¿½ï¿½com.mysql.jdbc.Driver
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		java.net.URLClassLoader$1.run(Unknown Source)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		java.net.URLClassLoader$1.run(Unknown Source)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		java.security.AccessController.doPrivileged(Native Method)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		java.net.URLClassLoader.findClass(Unknown Source)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		java.lang.ClassLoader.loadClass(Unknown Source)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		sun.misc.Launcher$AppClassLoader.loadClass(Unknown Source)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		java.lang.ClassLoader.loadClass(Unknown Source)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		java.lang.Class.forName0(Native Method)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		java.lang.Class.forName(Unknown Source)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.dao.DBHelper.<clinit>(DBHelper.java:33)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.biz.LoginBiz.<init>(LoginBiz.java:12)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.biz.RegisterBiz.addUnameListener(RegisterBiz.java:55)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.biz.RegisterBiz.access$1(RegisterBiz.java:50)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.biz.RegisterBiz$1.focusLost(RegisterBiz.java:31)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.TypedListener.handleEvent(TypedListener.java:143)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:84)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Display.sendEvent(Display.java:4362)
2017-09-16 14:38:20  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:1113)
